variable,coef,se,t,p,stars
intercept,-1.0557339146617444e-05,0.0003790711547606167,-0.027850547355111735,0.9777814364712201,
D_tilde,0.005154380081107361,0.0001324862004248242,38.9050336154223,0.0,***
D_tilde × eps_vol_s,-0.00046436754943441635,0.00011441372732900603,-4.05866988406985,4.9410919830128464e-05,***
D_tilde × io_pct_s,0.00010297661967537,0.0001312109551746618,0.7848172398279734,0.43256360273270067,
D_tilde × numest_s,0.00033920786399991556,0.0001304938579111482,2.59941632065839,0.009340363029909371,***
eps_vol_s,-0.0013240349973590102,0.0004579460703382252,-2.8912465530736355,0.00383844573236658,***
io_pct_s,-0.00012670250539217887,0.00040662802886642474,-0.311593142620771,0.7553507498093153,
numest_s,-0.0015224155875299366,0.0003426526934068599,-4.443028223105915,8.884839202583095e-06,***
